상호명,날짜,업종,위도,경도,시도,시군구,읍면동1,읍면동2,이용자수,남성비율,여성비율,10대비율,20대비율,30대비율,40대비율,50대이상비율,데이터기준일
유정명물닭갈비막국수,2021-07-21,음식점,37.816575,127.714736,강원,춘천시,신동면,증리,233,52.65,47.35,9.72,20.1,19.33,21.74,29.11,2021-12-21
점순네닭갈비,2021-07-30,음식점,37.816675,127.715624,강원,춘천시,신동면,증리,233,55.82,44.18,10.24,20.62,19.85,22.26,27.03,2021-12-21
준섭이네닭갈비,2021-07-21,음식점,37.815913,127.715295,강원,춘천시,신동면,증리,233,54.33,45.67,9.66,20.04,19.27,21.68,29.35,2021-12-21
도형닭갈비유통,2021-08-05,기타시설,37.859412,127.744929,강원,춘천시,석사동,,229,32.92,67.08,16.04,21.51,20.15,19.89,22.41,2021-12-21
시민닭갈비,2021-08-26,음식점,37.861592,127.741865,강원,춘천시,석사동,,229,52,48,15.53,21.07,19.83,21.64,21.93,2021-12-21
원앙닭갈비,2021-08-26,음식점,37.861698,127.741567,강원,춘천시,석사동,,229,55.26,44.74,15.58,21.12,19.88,21.43,21.99,2021-12-21
낙원동 숯불 닭갈비,2021-08-21,음식점,37.878885,127.725115,강원,춘천시,소양동,,227,53.66,46.34,14.2,20.91,22.93,23.55,18.41,2021-12-21
낙원동숯불닭갈비,2021-08-27,음식점,37.878882,127.725128,강원,춘천시,낙원동,,227,50.68,49.32,13.17,20.7,21.86,22.32,21.95,2021-12-21
상호네숯불닭갈비돼지갈비,2021-09-20,음식점,37.85946,127.760656,강원,춘천시,동내면,거두리,227,52.41,47.59,13.52,19.02,24.89,25.15,17.42,2021-12-21
우성닭갈비,2021-09-03,음식점,37.887296,127.763631,강원,춘천시,동면,만천리,227,18.44,81.56,16.53,15.28,22.67,25.62,19.9,2021-12-21
하늘닭갈비,2021-07-22,음식점,37.873864,127.725567,강원,춘천시,약사동,,227,50.48,49.52,13.34,21.05,22.72,23,19.89,2021-12-21
춘천원조1호닭갈비막국수(전남식당),2021-09-13,음식점,37.885721,127.718072,강원,춘천시,근화동,,225,31.97,68.03,10.43,18.42,31.54,9.15,30.46,2021-12-21
춘천2번지닭갈비,2021-09-05,음식점,37.852734,127.747395,강원,춘천시,석사동,,221,51.17,48.83,16.52,22.16,20.47,21.98,18.87,2021-12-21
2린닭갈비,2021-09-23,음식점,37.876004,127.746224,강원,춘천시,후평동,,216,56.16,43.84,12.89,20.63,23.44,21.35,21.69,2021-12-21
